地区,事故起数,死亡人数,受伤人数,直接财产损失
合计,238351,67759,275125,914368329
北京,3814,981,4426,20548450
天津,3839,945,4608,22561666
河北,6802,2766,7422,44516579
山西,7697,2773,8829,35011992
内蒙,4166,1440,4632,15285299
辽宁,6973,2156,6657,31455795
吉林,5277,1483,6313,22613632
黑龙江,3331,1419,3638,21099616
上海,2831,1042,2702,12162665
江苏,14542,5202,13997,54969145
浙江,23391,5689,25489,88469928
安徽,8191,2931,10307,24267781
福建,13633,2911,16247,46873943
江西,4262,1644,5163,39210158
山东,16166,4518,16948,56160861
河南,8587,2018,10159,33028766
湖北,6630,1952,8201,28502755
湖南,7444,2154,10082,38220416
广东,32455,6542,38598,85528775
广西,5196,2437,6504,18627144
海南,1323,499,1873,3996408
重庆,5992,1031,9178,10484051
四川,21680,3057,25179,57696238
贵州,1816,1210,2606,12139248
云南,5075,1888,6549,23717077
西藏,678,369,748,5850773
陕西,5501,2034,5404,29888283
甘肃,2937,1553,3353,12249433
青海,1146,578,1334,3927566
宁夏,1856,457,2192,5341966
新疆,5120,2080,5787,9961920
